Bib_ID,item_barcode,"Nhan đề","Tác giả","Nhà xuất bản","Năm xuất bản"
504,000000276,"Những tấm lòng cao cả /  Edmondo De Amicis; Trương Hoàng Duy - dịch","De Amicis, Edmondo","Mĩ thuật,",2016
505,000000132,"Những cuộc phiêu lưu của Sherlock Holmes : Tập truyện / Conan Doyle; Thái Hà - dịch","Doyle, Conan","Văn Học,",2016
506,000000234,"Nuôi dưỡng tâm hồn mở rộng kinh doanh /  Inamori Kazuo; Đào Thị Hồ Phương - dịch","Inamori, Kazuo","Lao động Xã hội,",2015
507,000001326,"Ôn luyện toán cao cấp /  Lê Đình Định","Lê, Đình Định","Giáo dục,",2014
508,000000332,"Ông già và biển cả /  Ernest. Hemingway Lê Huy Bắc - dịch","Hemingway, Ernest","Văn Học,",2018
509,000001492,"Phân tích báo cáo tài chính /  Nguyễn Ngọc Quang","Nguyễn, Ngọc Quang","Tài chính,",2016
510,000000404,"Phong thần diễn nghĩa.  Hứa Trọng Lâm; Mộng Bình Sơn: dịch","Hứa, Trọng Lâm","Mỹ thuật,",2018
511,000000729,"Phòng và chữa bệnh ung thư theo phương pháp tự nhiên /  Betty L. Khoo-Kingsley; Đào Dũng Tuấn - dịch","Khoo-Kingsley, Betty L.","Lao động,",2019
512,000000206,"Phụ nữ thông minh không ở góc văn phòng : 101 sai lầm phụ nữ thường mắc phải nơi công sở / Lois P. Frankel; Khánh Thuỷ - dịch","Frankel, Lois P.","Tri thức,",2019
513,000000167,"Phù và sử dụng phù trong cuộc sống /  Nguyễn Tiến Đích; Nguyễn Thị Bích Chiểu","Nguyễn, Tiến Đích","Hồng Đức,",2017
514,000000589,"Phụng sự để dẫn đầu : Tư duy lãnh đạo thế kỷ 21 / James Strock; Dịch: Thu Huyền","Strock, James","Lao động,",2017
515,000000387,"Phương pháp dạy con thành tài của người cha tốt /  Hiểu Huy; Bích Phương - biên dịch","Hiểu Huy","Văn hoá thông tin,",2014
516,000000224,"Phương pháp dạy con thành tài của người do thái : Trí huệ dạy con thành công nhất thế giới / Phạm Hồng soạn dịch","Phạm, Hồng","Hồng Đức,",2018
517,000000165,"Phương pháp đúng, hiệu quả cao /  Akihiro Shimizu, Đỗ Thị Minh Hoà - dịch","Shimizu, Akihiro","Lao động,",2017
518,000000177,"Phương pháp giải bài tập logic học /  Vương Tất Đạt, Nguyễn Thị Vân Hà","Vương, Tất Đạt","Giáo dục,",2014
519,000001354,"Phương pháp tính /  Tạ Văn Đĩnh","Tạ, Văn Đĩnh","Giáo dục,",2017
520,000000207,"PQ chỉ số đam mê /  Virender Kapoor; Mai Hương - dịch","Kapoor, Virender","Lao động Xã hội,",2018
521,000001459,"Quản lý 80/20 : Mười cách để trở thành nhà lãnh đạo hoàn hảo / Richard Kock; Dịch: Hoài Nam","Koch, Richard","Lao động Xã hội,",2019
522,000000647,"Quản lý dự án công nghệ thông tin /  Lê Văn Phùng, Trần Nguyên Hương, Lê Hương Giang","Lê, Văn Phùng","Thông tin và truyền thông,",2015
523,000001452,"Quản lý nghiệp : Khai mở thành công cá nhân và thịnh vượng Tài chính dưới góc nhìn Phật giáo / Geshe Michael Roach, Lama Christie McNally, Michael Gordon; Thuỷ Hương, Hoàng Tùng - dịch","Roach, Geshe Michael","Phương Đông,",2019
524,000000616,"Quản lý thời gian : Cẩm nang kinh doanh : Time management / Harvard Business Review; Bích Nga, Tấn Phước, Phạm Ngọc Sáu - dịch; Nguyễn Văn Quì - h.đ.","Trần, Thị Bích Nga | Harvard Business Review (TẠP CHÍ KINH DOANH HARVARD)","Tổng hợp TP. Hồ Chí Minh,",2018
